M,time_MOT,time_TOEP,time_ASAO
15,0.0031981,0.0036886,0.0131317
31,0.0052061,0.0071081,0.0252697
63,0.0106151,0.0130247,0.0462303
127,0.028266,0.0279835,0.09053
255,0.0759436,0.0549829,0.178218
511,0.206885,0.110344,0.336768
1023,0.608919,0.222524,0.686731
2047,2.11235,0.450857,1.37523
4095,7.92579,0.987497,2.80147
